-6.335,-0.012,-6.555,2.298,-17.366,-39.389
-7.942,-1.113,-6.785,-3.069,13.435,-20.565
-7.453,-1.458,-5.574,29.374,-15.397,-28.435
-5.203,-3.100,-5.162,29.130,48.588,11.237
-8.655,-1.075,-7.412,-7.679,-17.901,-7.527
-8.286,-1.896,-6.768,3.099,-28.107,-13.153
-10.393,1.374,-8.308,-3.550,-48.771,-86.061
-9.771,-2.277,-8.739,30.206,-26.565,-57.679
-8.171,-3.768,-2.887,-31.527,6.733,-0.878
-5.885,-1.769,-4.578,-44.832,29.130,50.802
-6.354,0.369,-8.973,21.977,79.557,-49.870
-8.174,0.189,-9.649,-18.351,7.061,12.603
-8.483,-1.690,-3.656,-8.550,-40.847,-8.481
-7.204,0.053,-3.898,4.008,-47.534,4.565
-6.316,0.148,-4.731,-39.298,172.908,94.420
-7.599,3.855,-13.927,-36.618,54.252,21.542
-7.494,2.569,-10.556,-2.595,-38.786,-17.916
-7.420,1.051,-4.396,6.252,-130.031,-43.794
-7.592,0.208,-1.738,-20.534,31.908,-6.634
-6.529,0.256,-1.951,-31.580,122.031,12.733
-10.142,6.895,-18.950,-50.679,192.412,105.794
-0.862,1.872,-6.282,10.565,-77.901,-93.641
-5.468,2.296,-5.734,10.107,-182.588,-94.015
-6.852,2.236,-5.004,-8.015,-135.198,-45.756
-7.846,1.010,-2.210,-16.206,68.061,15.908
-6.347,1.812,-3.036,-12.115,160.015,51.344
-6.421,6.843,-15.522,-6.496,173.443,112.840
-2.892,1.630,-6.905,85.008,-69.847,-154.687
-5.179,1.970,-5.614,10.489,-167.817,-72.046
-8.088,1.403,-3.007,-2.588,-63.046,-29.725
-7.843,1.118,-3.105,-18.489,88.550,2.924
-5.804,1.470,-3.153,-14.420,159.855,48.924
-9.922,10.700,-19.613,-63.695,154.588,150.832
-2.648,4.796,-11.839,11.756,-32.107,-48.664
-7.199,1.334,-6.378,23.473,-233.458,-81.275
-7.333,1.288,-3.998,18.679,-210.756,-28.656
-6.773,-0.136,-2.799,-45.702,185.534,79.473
-1.312,2.734,-5.148,-79.389,250.130,158.771
0.955,3.383,-7.288,24.824,-85.046,-69.626
-3.819,3.926,-12.057,-48.679,6.908,7.595
-6.235,1.697,-6.014,9.336,-250.137,-53.092
-6.536,0.189,-3.182,-1.702,-127.977,-0.786
-5.107,1.381,-3.857,-50.084,250.130,133.153
-3.304,3.546,-7.434,-48.855,250.130,140.473
-1.022,3.989,-10.147,-28.038,21.588,-20.191
-4.690,4.310,-11.993,29.168,-136.282,-79.321
-6.254,1.008,-4.010,-2.802,-199.443,-48.840
-7.958,1.798,-2.195,-6.229,-70.244,-6.191
-6.991,1.262,-1.262,-29.282,118.260,15.588
-5.262,7.563,-15.129,-40.588,220.718,140.214
-6.831,3.060,-12.704,29.802,-146.679,-73.290
-4.590,2.239,-5.954,30.542,-250.137,-102.748
-6.414,1.065,-5.382,-24.893,-99.779,0.229
-8.528,1.025,-0.232,-17.412,22.076,14.954
-6.486,2.078,-2.064,-4.107,221.321,17.382
-6.991,11.102,-19.613,-43.840,134.794,154.000
-4.027,5.037,-12.517,19.015,-45.893,-52.626
-3.855,4.798,-8.150,-7.237,-250.137,-196.160
-7.041,2.387,-2.028,-10.779,-90.779,-36.382
-7.537,1.839,-1.211,-11.817,6.038,-8.588
-6.266,3.323,-4.803,-16.374,244.214,74.985
-1.848,6.400,-17.765,-22.137,32.046,38.183
-4.760,4.310,-9.038,-16.885,-241.153,-91.137
-6.486,3.067,-5.830,4.519,-231.168,-84.076
-7.930,1.930,-2.306,-30.038,-32.725,-6.695
-6.929,1.578,-2.315,-14.122,32.061,2.511
-4.271,2.907,-5.576,-34.832,250.130,148.771
-0.388,2.516,-7.621,20.267,-68.046,-77.580
-1.822,4.772,-10.652,-13.290,-74.137,-31.573
-6.431,2.792,-5.540,11.977,-179.901,-30.718
-7.647,1.611,-2.976,-6.916,-7.740,-30.511
-7.815,0.687,-2.468,-11.504,32.725,3.748
-2.433,4.379,-4.130,-18.031,250.130,158.351
-6.560,5.246,-15.040,13.847,150.718,57.588
-4.293,5.200,-11.104,-34.763,-23.031,3.718
-5.511,2.638,-4.678,-1.969,-114.947,-40.924
-7.834,0.395,-2.480,-13.863,26.496,14.550
-6.069,1.590,-2.885,-22.557,104.542,46.756
-1.353,4.190,-13.592,22.099,250.130,57.076
-5.715,10.142,-19.613,-5.695,23.542,39.702
-6.314,3.754,-9.074,-27.038,-146.458,-93.076
-7.183,2.124,-3.970,-11.794,-69.641,-21.885
-8.092,1.106,-2.246,-14.725,35.641,-21.450
-6.847,0.713,-2.346,-34.122,111.145,40.557
-6.261,4.496,-12.625,13.069,-22.817,3.931
-6.524,4.583,-11.837,22.198,-7.679,-49.046
-7.156,3.960,-8.617,-22.191,-85.481,-58.939
-5.892,2.200,-2.176,-31.374,-119.107,-9.206
-7.262,2.181,-2.820,3.595,132.252,43.344
-4.420,2.069,-4.003,54.038,101.038,39.527
-4.554,1.879,-6.606,5.420,-6.611,-88.794
-6.065,2.935,-6.227,-13.908,-155.420,-111.237
-6.321,2.004,-5.057,2.718,-121.267,-29.954
-7.314,1.391,-2.325,-23.634,45.870,4.038
-6.349,2.169,-6.132,-0.107,176.985,76.145
-6.067,4.008,-8.037,21.641,90.160,75.817
-5.301,4.226,-8.557,-6.710,62.664,-10.756
-6.364,3.888,-7.542,-7.351,-149.008,-37.107
-7.070,1.429,-3.371,-37.550,-1.176,-13.489
-8.258,1.889,-5.370,-23.145,73.450,18.794
-5.906,3.254,-4.867,5.763,19.771,58.794
-6.026,3.926,-5.983,6.649,32.840,-68.634
-5.698,3.038,-4.829,23.489,-95.511,-67.160
-7.003,1.506,-3.850,7.634,-79.962,-38.718
-7.417,0.204,-1.417,-16.076,-9.137,-18.092
-6.862,-0.302,-2.500,-18.038,8.870,-20.664
-10.094,2.801,-6.943,8.115,3.023,7.420
-10.293,2.234,-7.331,-7.725,12.191,32.107
-12.151,3.043,-8.973,-26.458,50.000,20.267
-9.558,1.944,-5.945,0.015,-4.275,-98.947
-7.535,2.655,-4.769,27.313,-111.405,-37.466
-7.034,1.836,-3.661,0.359,-114.603,-11.939
-7.084,1.961,-0.589,-43.580,109.099,16.580
-6.768,0.199,-1.911,-34.603,93.023,20.275
-15.344,-0.060,-14.085,-17.695,22.405,22.511
-7.523,2.974,-6.924,-6.641,5.817,-4.252
-7.163,1.037,-5.899,34.321,-117.756,9.809
-7.657,0.836,-1.065,-17.038,-15.733,0.771
-7.575,2.464,-2.076,-30.344,205.756,42.832
-6.105,2.500,-7.391,3.626,147.878,24.160
-9.187,1.539,-9.718,9.374,18.687,-24.076
-5.856,2.540,-4.506,31.855,-250.137,2.573
-7.781,0.045,-1.140,-57.053,-25.618,39.214
-6.460,1.362,-1.882,-26.695,105.084,-21.336
-6.340,1.025,-6.309,-8.565,110.092,-0.145
-7.628,3.108,-8.801,13.511,11.992,-53.153
-4.791,1.535,-5.444,67.008,-159.122,-50.145
-9.644,1.319,-3.414,18.282,-158.092,12.756
-6.981,0.555,-0.175,-60.656,37.679,5.962
-6.644,2.198,-0.984,-34.489,22.962,-5.969
-9.309,0.405,-1.286,-16.641,22.863,4.481
-4.867,1.671,0.160,-49.580,87.176,106.137
-8.303,2.928,-3.397,-27.847,127.160,140.534
-8.928,2.318,-8.289,0.634,53.176,-51.336
